1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone H, inDir EAST , Links *F-F NE 
PASS: Zone H, inDir EAST , Links *F-F -- 
PASS: Zone H, inDir EAST , Links *F-B NE 
PASS: Zone H, inDir EAST , Links *F-B -- 
PASS: Zone H, inDir EAST , Links *B-* NE 
PASS: Zone H, inDir EAST , Links *B-* -- 
PASS: Zone H, inDir EAST , Links *B-F NE 
PASS: Zone H, inDir EAST , Links *B-F -- 
PASS: Zone H, inDir EAST , Links *B-B NE 
PASS: Zone H, inDir EAST , Links *B-B -- 
PASS: Zone H, inDir EAST , Links F*-* NE 
PASS: Zone H, inDir EAST , Links F*-* -- 
PASS: Zone H, inDir EAST , Links F*-F NE 
PASS: Zone H, inDir EAST , Links F*-F -- 
PASS: Zone H, inDir EAST , Links F*-B NE 
PASS: Zone H, inDir EAST , Links F*-B -- 
PASS: Zone H, inDir EAST , Links FF-* NE 
PASS: Zone H, inDir EAST , Links FF-* -- 
PASS: Zone H, inDir EAST , Links FF-F NE 
PASS: Zone H, inDir EAST , Links FF-F -- 
PASS: Zone H, inDir EAST , Links FF-B NE 
PASS: Zone H, inDir EAST , Links FF-B -- 
PASS: Zone H, inDir EAST , Links FB-* NE 
PASS: Zone H, inDir EAST , Links FB-* -- 
PASS: Zone H, inDir EAST , Links FB-F NE 
PASS: Zone H, inDir EAST , Links FB-F -- 
PASS: Zone H, inDir EAST , Links FB-B NE 
PASS: Zone H, inDir EAST , Links FB-B -- 
PASS: Zone H, inDir EAST , Links B*-* NE 
PASS: Zone H, inDir EAST , Links B*-* -- 
PASS: Zone H, inDir EAST , Links B*-F NE 
PASS: Zone H, inDir EAST , Links B*-F -- 
PASS: Zone H, inDir EAST , Links B*-B NE 
PASS: Zone H, inDir EAST , Links B*-B -- 
PASS: Zone H, inDir EAST , Links BF-* NE 
PASS: Zone H, inDir EAST , Links BF-* -- 
PASS: Zone H, inDir EAST , Links BF-F NE 
PASS: Zone H, inDir EAST , Links BF-F -- 
PASS: Zone H, inDir EAST , Links BF-B NE 
PASS: Zone H, inDir EAST , Links BF-B -- 
PASS: Zone H, inDir EAST , Links BB-* NE 
PASS: Zone H, inDir EAST , Links BB-* -- 
PASS: Zone H, inDir EAST , Links BB-F NE 
PASS: Zone H, inDir EAST , Links BB-F -- 
